********************************************************************************
LOGGING TIME: 20150927_000318
********************************************************************************
MM, 688, 321, 8
MM, 686, 334, 8
MM, 681, 348, 8
MM, 670, 367, 8
MM, 657, 386, 8
MM, 642, 405, 8
MM, 623, 424, 8
MM, 604, 439, 8
MM, 587, 452, 8
MM, 570, 465, 8
MM, 555, 476, 8
MM, 540, 487, 8
MM, 531, 496, 8
MM, 522, 507, 8
MM, 517, 516, 9
MM, 515, 527, 7
MM, 515, 538, 8
MM, 520, 549, 8
MM, 524, 557, 8
MM, 531, 565, 8
MM, 539, 574, 8
MM, 548, 582, 8
MM, 561, 591, 9
MM, 578, 600, 7
MM, 597, 607, 8
MM, 618, 614, 8
MM, 639, 614, 8
MM, 662, 614, 8
MM, 685, 611, 8
MM, 706, 602, 8
MM, 725, 593, 8
MM, 742, 578, 8
MM, 757, 559, 8
MM, 766, 538, 8
MM, 773, 511, 8
MM, 773, 482, 8
MM, 773, 453, 8
MM, 768, 424, 8
MM, 763, 397, 8
MM, 756, 374, 8
MM, 747, 351, 8
MM, 736, 330, 8
MM, 727, 311, 8
MM, 718, 294, 8
MM, 709, 281, 8
MM, 702, 270, 8
MM, 695, 261, 8
MM, 688, 254, 8
MM, 679, 247, 8
MM, 668, 242, 8
MM, 653, 237, 8
MM, 632, 237, 8
MM, 607, 237, 8
MM, 582, 242, 8
MM, 551, 251, 8
MM, 520, 268, 8
MM, 487, 285, 8
MM, 458, 304, 8
MM, 431, 325, 8
MM, 410, 346, 8
MM, 391, 369, 8
MM, 378, 392, 8
MM, 371, 415, 8
MM, 366, 438, 8
MM, 368, 461, 8
MM, 377, 484, 8
MM, 390, 507, 8
MM, 407, 530, 8
MM, 430, 549, 8
MM, 459, 566, 8
MM, 496, 581, 8
MM, 537, 594, 8
MM, 580, 596, 8
MM, 623, 596, 8
MM, 664, 589, 8
MM, 701, 578, 8
MM, 734, 563, 8
MM, 759, 544, 8
MM, 778, 521, 8
MM, 793, 498, 8
MM, 808, 473, 8
MM, 819, 448, 8
MM, 828, 427, 8
MM, 837, 412, 8
MM, 846, 399, 8
MM, 853, 390, 8
MM, 864, 381, 8
MM, 875, 374, 8
MM, 886, 367, 8
MM, 899, 367, 8
MM, 912, 365, 8
MM, 927, 365, 8
MM, 942, 365, 8
MM, 957, 368, 8
MM, 972, 375, 8
MM, 985, 384, 8
MM, 994, 393, 8
MM, 999, 406, 8
MM, 1001, 419, 8
MM, 1001, 432, 8
MM, 998, 447, 8
MM, 991, 462, 8
MM, 982, 477, 8
MM, 969, 494, 8
MM, 952, 509, 8
MM, 931, 524, 8
MM, 904, 537, 8
MM, 875, 550, 8
MM, 846, 563, 8
MM, 811, 574, 9
MM, 776, 585, 7
MM, 741, 594, 8
MM, 706, 603, 8
MM, 677, 612, 8
MM, 648, 619, 8
MM, 625, 626, 8
MM, 606, 633, 8
MM, 587, 640, 8
MM, 572, 645, 8
MM, 561, 650, 8
MM, 550, 655, 8
MM, 539, 660, 8
MM, 528, 665, 8
MM, 517, 670, 8
MM, 508, 675, 8
MM, 499, 682, 8
MM, 490, 689, 8
MM, 481, 696, 8
MM, 474, 703, 8
MM, 467, 708, 8
MM, 462, 715, 8
MM, 457, 720, 8
MM, 452, 725, 8
MM, 452, 729, 8
MM, 450, 733, 8
MM, 448, 737, 8
MM, 445, 741, 8
MM, 443, 745, 8
MM, 439, 749, 8
MM, 435, 752, 8
MM, 435, 751, 8
MM, 434, 753, 8
MM, 433, 755, 8
MM, 431, 756, 8
MM, 430, 758, 8
MM, 430, 759, 8
MM, 430, 760, 8
MM, 429, 762, 8
MM, 429, 764, 8
MM, 428, 765, 8
MM, 428, 766, 8
MM, 426, 767, 9
MM, 424, 767, 8
MM, 423, 767, 7
MM, 421, 767, 8
MM, 420, 767, 8
MM, 419, 767, 8
MM, 419, 767, 8
MP, 1, 120
MR, 1, 88
MC, 1, 0
MM, 419, 766, 304
MM, 419, 765, 8
MM, 419, 763, 8
MM, 419, 761, 8
MM, 419, 758, 8
MM, 418, 754, 8
MM, 418, 749, 8
MM, 418, 740, 9
MM, 416, 729, 7
MM, 416, 712, 8
MM, 411, 695, 8
MM, 411, 676, 8
MM, 413, 657, 8
MM, 415, 640, 8
MM, 417, 623, 8
MM, 419, 606, 8
MM, 426, 590, 8
MM, 433, 571, 8
MM, 442, 552, 8
MM, 453, 533, 8
MM, 466, 514, 8
MM, 485, 495, 8
MM, 504, 480, 10
MM, 527, 465, 6
MM, 554, 450, 8
MM, 581, 433, 8
MM, 610, 416, 8
MM, 645, 403, 8
MM, 686, 390, 8
MM, 727, 383, 8
MM, 770, 381, 8
MM, 813, 381, 8
MM, 856, 379, 8
MM, 891, 379, 8
MM, 922, 379, 8
MM, 947, 379, 8
MM, 966, 379, 8
MM, 979, 379, 8
MM, 984, 379, 8
MM, 985, 379, 8
MM, 983, 381, 40
MM, 980, 381, 8
MM, 977, 381, 8
MM, 972, 381, 8
MM, 967, 381, 8
MM, 958, 379, 8
MM, 944, 374, 8
MM, 930, 370, 8
MM, 911, 361, 8
MM, 892, 352, 8
MM, 873, 343, 8
MM, 854, 332, 8
MM, 837, 321, 8
MM, 820, 310, 8
MM, 805, 299, 8
MM, 792, 288, 8
MM, 783, 279, 8
MM, 776, 270, 8
MM, 771, 263, 8
MM, 771, 258, 8
MM, 769, 253, 8
MM, 769, 251, 8
MM, 769, 249, 8
MM, 769, 247, 8
MM, 769, 246, 16
MM, 770, 245, 16
MM, 770, 244, 8
MM, 771, 243, 8
MM, 772, 241, 8
MM, 773, 240, 8
MM, 773, 239, 8
MM, 773, 238, 8
MM, 773, 239, 72
MM, 772, 243, 8
MM, 767, 249, 8
MM, 761, 259, 8
MM, 752, 272, 8
MM, 739, 285, 8
MM, 726, 298, 8
MM, 713, 311, 8
MM, 700, 324, 8
MM, 687, 337, 8
MM, 676, 348, 8
MM, 667, 359, 8
MM, 662, 370, 8
MM, 660, 381, 8
MM, 660, 388, 8
MM, 662, 394, 8
MM, 664, 399, 8
MM, 668, 403, 8
MM, 672, 406, 8
MM, 676, 408, 8
MM, 680, 410, 8
